Parallax,"""星察"""
Vidar Reactor Mk I,"""Vidar反应堆 Mk I"""
Vidar Shield Array Mk I,"""Vidar护盾阵列 Mk I"""
Vidar Photor Mk I,"""Vidar光子聚熔炮 Mk I"""
Vidar Apoc Mk I,"""Vidar天启炮台 Mk I"""
Vidar Cryophon Mk I,"""Vidar急冻粒子炮 Mk I"""
Vidar Carcinnox Mk I,"""Vidar毒液穿甲炮 Mk I"""
Vidar Pulsar Mk I,"""Vidar脉冲星 Mk I"""
Vidar Vort Mk I,"""Vidar威电炮台 Mk I"""
Vidar Glazio Mk I,"""Vidar冰导炮台 Mk I"""
Vidar Talyn Mk I,"""Vidar锐透穿甲炮 Mk I"""
Vidar Laith Mk I,"""Vidar裂撕削甲炮 Mk I"""
Vidar Engines Mk Ii,"""Vidar引擎 Mk II"""
Vidar Plating Mk Ii,"""Vidar装甲 Mk II"""
Vidar Reactor Mk Ii,"""Vidar反应堆 Mk II"""
Vidar Shield Array Mk Ii,"""Vidar护盾阵列 Mk II"""
Vidar Photor Mk Ii,"""Vidar光子聚熔炮 Mk II"""
Vidar Apoc Mk Ii,"""Vidar天启炮台 Mk II"""
Vidar Cryophon Mk Ii,"""Vidar急冻粒子炮 Mk II"""
Vidar Carcinnox Mk Ii,"""Vidar毒液穿甲炮 Mk II"""
Vidar Pulsar Mk Ii,"""Vidar脉冲星 Mk II"""
Vidar Vort Mk Ii,"""Vidar威电炮台 Mk II"""
Vidar Glazio Mk Ii,"""Vidar冰导炮台 Mk II"""
Vidar Talyn Mk Ii,"""Vidar锐透穿甲炮 Mk II"""
Vidar Laith Mk Ii,"""Vidar裂撕削甲炮 Mk II"""
Vidar Engines Mk Iii,"""Vidar引擎 Mk III"""
Vidar Plating Mk Iii,"""Vidar装甲 Mk III"""
Vidar Reactor Mk Iii,"""Vidar反应堆 Mk III"""
Vidar Shield Array Mk Iii,"""Vidar护盾阵列 Mk III"""
Vidar Photor Mk Iii,"""Vidar光子聚熔炮 Mk III"""
Vidar Apoc Mk Iii,"""Vidar天启炮台 Mk III"""
Vidar Cryophon Mk Iii,"""Vidar急冻粒子炮 Mk III"""
Vidar Carcinnox Mk Iii,"""Vidar毒液穿甲炮 Mk III"""
Vidar Pulsar Mk Iii,"""Vidar脉冲星 Mk III"""
Vidar Vort Mk Iii,"""Vidar威电炮台 Mk III"""
Vidar Glazio Mk Iii,"""Vidar冰导炮台 Mk III"""
Vidar Talyn Mk Iii,"""Vidar锐透穿甲炮 Mk III"""
Vidar Laith Mk Iii,"""Vidar裂撕削甲炮 Mk III"""
Deimos Leaper,"""惊惧奔跳者"""
Cortege (Atmosphere),"""送葬者（大气层内）"""
Elite Shield Lancer,"""精英盾枪兵"""
Excalibur Specter,"""Excalibur魅影"""
Ember Specter,"""Ember魅影"""
Equinox Specter,"""Equinox魅影"""
Volt Specter,"""Volt魅影"""
Frost Specter,"""Frost魅影"""
Loki Specter,"""Loki魅影"""
Mesa Specter,"""Mesa魅影"""
Primed Rubedo-Lined Barrel,"""红晶枪管Prime"""
Brash,"""急躁"""
War Blade,"""战争之剑刀片"""
War Hilt,"""战争之剑握柄"""
Hilt,"""握柄"""
Feverspine,"""脊椎热"""
Gristlebuck,"""软骨雄"""
Nodulite,"""结瘤"""
Steeba,"""蒸肌"""
Volatile Parasite,"""暴怒寄生"""
Machete Syachid Skin,"""砍刀萨切德外观"""
Mitosid,"""分裂体"""
Basal Diploid,"""基底二倍体"""
Feral Diploid,"""凶猛二倍体"""
Mitosid Rex,"""分裂体之王"""
Feral Diploid Rex,"""凶猛二倍体之王"""
Basal Diploid Rex,"""基底二倍体之王"""
Thrall Pact,"""奴仆契约"""
Mach Crash,"""马赫崩毁"""
Blending Talons,"""混沌利爪"""
Critical Surge,"""暴击涌流"""
Bomb The Landin',"""轰炸落地"""
Shrewd,"""精明"""
Steadyslam,"""稳击"""
Tremor,"""震颤"""
Stahlta,"""钢刃步枪"""
Stropha,"""诡计之刃"""
Shi Armor Set,"""死逝护甲套装"""
Telema Helmet,"""遥测头盔"""
Mavv Helmet,"""面甲头盔"""
Velox,"""逐电"""
Rhoptron Syandana,"""铃鼓披饰"""
Xoris,"""驱魔之刃"""
Deep Hold,"""深度容纳"""
Cruising Speed,"""巡航速度"""
Quicklock,"""快速锁定"""
Artillery Cheap Shot,"""高效光能炮"""
Ordnance Cheap Shot,"""高效火炮"""
Turret Velocity,"""炮台速度"""
Ordnance Velocity,"""火炮速度"""
Murex,"""骨螺战舰"""
Splintrix,"""芒刺冲锋艇"""
Skold Crewship,"""斯考尔德战舰"""
Exo Skold Crewship,"""邃域斯考尔德战舰"""
Pangolin Prime,"""鲮鲤剑Prime"""
Corinth Prime,"""科林斯Prime"""
Breach Adrenaline,"""闭合激效"""
Sentient Fortitude,"""Sentient坚毅抵御"""
Revo Reducer,"""节流降耗"""
Sentient Scalpel,"""Sentient解剖刀"""
Hardened Casing,"""硬质封填"""
Overloader,"""超量载弹"""
Operation: Scarlet Spear,"""行动代号：猩红之矛"""
Stance Forma,"""架式Forma"""
Basmu,"""巴什穆"""
Ceti Lacera,"""天仓悲痛之刃"""
Arm-Cannon,"""手炮"""
Arm Cannon,"""手炮"""
Fishing Spear,"""鱼叉"""
Lanzo,"""兰佐鱼叉"""
Tulok,"""图洛克鱼叉"""
Peram,"""佩拉姆鱼叉"""
Shockprod,"""电冲刺鱼叉"""
Stunna,"""电震波鱼叉"""
Kuva Nukor,"""赤毒努寇微波枪"""
Kuva Hind,"""赤毒雌鹿"""
Kuva Bramma,"""赤毒布拉玛"""
RUSE WAR FIELD,"""RUSE战场"""
GIAN POINT,"""GIAN点"""
NSU GRID,"""NSU区格"""
GANALEN'S GRAVE,"""GANALEN之墓"""
H-2 CLOUD,"""H-2星云"""
R-9 CLOUD,"""R-9星云"""
SOVER STRAIT,"""SOVER峡道"""
POSIT CLUSTER,"""POSIT星团"""
MINHAST STATION,"""MINHAST站点"""
PHANGHOUL SATELLITES,"""PHANGHOUL卫星"""
IOTA TEMPLE,"""IOTA神殿"""
JEX LANES,"""JEX之道"""
OGAL CLUSTER,"""OGAL星团"""
KORMS BELT,"""KORMS地带"""
RIAN BELT,"""RIAN地带"""
BENDAR CLUSTER,"""BENDAR星团"""
FREE FLIGHT,"""自由航行"""
MORDO CLUSTER,"""MORDO星团"""
KASIO'S REST,"""KASIO安息处"""
VILA GAP,"""VILA间隙"""
SPIRO GAP,"""SPIRO间隙"""
NODO GAP,"""NODO间隙"""
LUPAL PASS,"""LUPAL通道"""
VAND CLUSTER,"""VAND星团"""
Anomaly Shard,"""异常碎片"""
Masseter,"""咀嚼金棒"""
Symbilyst,"""共生使"""
Baza Prime,"""苍鹰Prime"""
Aksomati Prime,"""轻灵月神双枪Prime"""
Quellor,"""压制者"""
Pennant,"""尖幡"""
Cephalon Cy,"""中枢Cy"""
Rising Tide,"""澎湃狂潮"""
Railjack,"""航道星舰"""
Cubic Diodes,"""立方二极管"""
Pustrels,"""寄生脓疱"""
Copernics,"""哥白尼能量单元"""
Carbides,"""碳化物"""
Feast,"""大块朵颐"""
Nourish,"""消化滋养"""
Regurgitate,"""剧烈反刍"""
Pulverize,"""肉弹碾压"""
blocking,"""格挡"""
Energizing Dash,"""活力冲刺"""
Ground finishers,"""地面处决"""
Power Spike,"""力量激增"""
slam attacks,"""震地攻击"""
Aerial attacks,"""飞跃攻击"""
Slide attacks,"""滑行攻击"""
Wall attacks,"""蹬墙攻击"""
Normal attacks,"""普通攻击"""
Archweapon Deployer,"""Archwing枪械设置器"""
Celestial Twin,"""天圣双身"""
Aero Periphery,"""空飞边际"""
Motus Signal,"""跃动信号"""
Proton Pulse,"""质子脉动"""
Aero Vantage,"""空飞俯瞰"""
Motus Impact,"""跃动冲击"""
Proton Jet,"""质子喷射"""
Motus Setup,"""跃动设局"""
Proton Snap,"""质子猛扑"""
Odomedic,"""气息疗愈"""
Gale Kick,"""狂风猛踢"""
Anti-Grav Array,"""反重力阵列"""
Kavat's Grace,"""库娃的优雅"""
Amalgam Swarm Satyr,"""并合群集半羊兽"""
Amalgam Phase MOA,"""并合相位恐鸟"""
Amalgam Cinder Machinist,"""并合熔渣机械师"""
Amalgam Arca Kucumatz,"""并合弧电羽蛇"""
Archwing (Soundtrack),"""Archwing（原声带）"""
Consume Us,"""吞噬我们"""
Corpus Greed,"""Corpus的贪婪"""
Corrupted (Soundtrack),"""堕落者（原声带）"""
Derelicts,"""遗弃之船"""
Gene Molds,"""基因模板"""
Ghosts of Void,"""虚空鬼魅"""
Grakata (Soundtrack),"""葛拉卡达（原声带）"""
Grineer Onslaught,"""Grineer的猛攻"""
Hunhow (Soundtrack),"""Hunhow（原声带）"""
March Of The Moa,"""恐鸟进军"""
Origin System,"""始源星系"""
Our Disease,"""我们的疾病"""
Rapid Adaptation,"""迅速适应"""
Red Broth,"""赤之汤"""
Sentient Tombs,"""Sentient之墓"""
The Creeping Dark,"""诡异之暗"""
The Profit,"""利益"""
The Second Dream (Soundtrack),"""第二场梦（原声带）"""
The Witches Lair,"""女巫之巢"""
This Is What You Are,"""你的本质"""
Vor's Prize (Soundtrack),"""Vor的战利品（原声带）"""
Wings Of War,"""战争之翼"""
Wretched Things,"""丑恶之物"""
Trample,"""践踏"""
Pyroclastic Flow,"""火成碎流"""
Primal Fury (Stance),"""原始狂怒（架式）"""
Calculated Victory,"""算计赢家"""
Primed Ammo Stock,"""霰弹扩充Prime"""
Chromatic Blade,"""华彩刀剑"""
Frost Insulation,"""冰冻抗性"""
Antitoxin,"""毒抗"""
Affinity Amp,"""经验增幅"""
Primed Pistol Ammo Mutation,"""手枪弹药转换Prime"""
Proboscis,"""长吻"""
Recover,"""痊愈"""
Bane of Corrupted,"""灭亡堕落者"""
Fire Resistance,"""火焰抗性"""
Primed Shred,"""撕裂Prime"""
Resilient Focus,"""弹性焦点"""
Cannonade,"""狂轰滥炸"""
Recuperate,"""复元"""
Laser Deflection,"""激光折射"""
Electrical Resistance,"""电击抗性"""
Remech Osprey,"""再启动鱼鹰"""
Caches,"""资源储藏舱"""
Xiphos Fuselage Blueprint,"""Xiphos机身蓝图"""
Xiphos Engines Blueprint,"""Xiphos引擎蓝图"""
Xiphos Avionics Blueprint,"""Xiphos飞航系统蓝图"""
Vapor Specter Blueprint,"""幻雾魅影蓝图"""
Phase Specter Blueprint,"""相位魅影蓝图"""
Force Specter Blueprint,"""原力魅影蓝图"""
Cosmic Specter Blueprint,"""无极魅影蓝图"""
Forma Blueprint,"""Forma蓝图"""
Expel Corrupted,"""驱逐堕落者"""
Smite Corrupted,"""毁灭堕落者"""
Cleanse Corrupted,"""净化堕落者"""
(Variant) Cephalon Capture,"""（变体）夺取中枢"""
Health Restore (Large),"""生命补给（大型）"""
Cyngas,"""合成燃气炮"""
Agkuza,"""驯象钩刃"""
Arcata,"""阿卡塔"""
Twin Kohmak,"""双子寇恩霰机枪"""
Furax Wraith,"""弗拉克斯亡魂"""
Mutalist Cernos,"""异融西诺斯"""
Dual Toxocyst,"""毒囊双枪"""
Staticor,"""静电能量导引枪"""
Lesion,"""病变"""
Ack & Brunt,"""认知&冲击"""
Acrid,"""阿克里德"""
Azima,"""方位角"""
Afuris,"""盗贼双枪"""
Akbolto,"""螺钉双枪"""
Akbronco,"""野马双枪"""
Akbronco Prime,"""野马双枪Prime"""
Akjagara,"""觉醒双枪"""
Aklato,"""拉托双枪"""
Aklex,"""雷克斯双枪"""
Akmagnus,"""麦格努斯双枪"""
Aksomati,"""轻灵月神双枪"""
Akstiletto,"""史提托双枪"""
Akstiletto Prime,"""史提托双枪Prime"""
Akvasto,"""瓦斯托双枪"""
Amphis,"""双头蛇"""
Amprex,"""安培克斯"""
Angstrum,"""安格斯壮"""
Anku,"""夺魂死神"""
Ankyros,"""甲龙双拳"""
Ankyros Prime,"""甲龙双拳Prime"""
Atomos,"""原子矿融炮"""
Atterax,"""阿特拉克斯"""
Attica,"""阿提卡"""
Auto,"""自动"""
Ballistica,"""布里斯提卡"""
Bo,"""玻之武杖"""
Bo Prime,"""玻之武杖Prime"""
Boar,"""野猪"""
Boar Prime,"""野猪Prime"""
Boltace,"""螺钉拐刃"""
Telos Boltace,"""终极螺钉拐刃"""
Bolto,"""螺钉手枪"""
Boltor,"""螺钉步枪"""
Boltor Prime,"""螺钉步枪Prime"""
Brakk,"""布拉克"""
Braton,"""布莱顿"""
Braton Prime,"""布莱顿Prime"""
Braton Vandal,"""布莱顿破坏者"""
Bronco,"""野马"""
Bronco Prime,"""野马Prime"""
Burst Laser,"""激光点发"""
Burston,"""伯斯顿"""
Burston Prime,"""伯斯顿Prime"""
Buzlok,"""巴兹火枪"""
Castanas,"""雷爆信镖"""
Centaur,"""半人马"""
Cernos,"""西诺斯"""
Cerata,"""裸鳃刃"""
Cestra,"""锡斯特"""
Convectrix,"""导热聚焦枪"""
Corvas,"""黑鸦"""
Ceramic Dagger,"""陶瓷匕首"""
Cronus,"""克洛诺斯"""
Deconstructor,"""分离"""
Daikyu,"""大久和弓"""
Dakra,"""达克拉"""
Dakra Prime,"""达克拉Prime"""
Dark Dagger,"""暗黑匕首"""
Rakta Dark Dagger,"""绯红暗黑匕首"""
Dark Sword,"""暗黑长剑"""
Dark Split-Sword,"""暗黑分合剑"""
Heliocor,"""赫利俄光锤"""
Synoid Heliocor,"""枢议赫利俄光锤"""
Dera,"""德拉"""
Dera Vandal,"""德拉破坏者"""
Despair,"""绝望"""
Detron,"""德特昂"""
Dex Dakra,"""Dex达克拉双剑"""
Dex Sybaris,"""Dex席芭莉丝"""
Dex Furis,"""Dex盗贼双枪"""
Dragon Nikana,"""龙之侍刃"""
Nikana Prime,"""侍刃Prime"""
Drakgoon,"""龙骑兵"""
Dread,"""恐惧"""
Dual Cestra,"""锡斯特双枪"""
Dual Cleavers,"""斩肉双刀"""
Dual Decurion,"""什长双枪"""
Stradavar,"""斯特拉迪瓦"""
Zhuge,"""诸葛连弩"""
MK1-Strun,"""MK1-斯特朗"""
MK1-Furis,"""MK1-盗贼"""
Broken War,"""破碎的战争之剑"""
Okina,"""翁"""
Sibear,"""西伯利亚冰锤"""
Dual Ether,"""苍穹双剑"""
Dual Heat Swords,"""烈焰双剑"""
Dual Ichor,"""恶脓双斧"""
Dual Kamas,"""双短柄战镰"""
Dual Kamas Prime,"""双短柄战镰Prime"""
Dual Raza,"""锋月双斧"""
Dual Skana,"""空刃双刀"""
Dual Zoren,"""佐伦双斧"""
Embolist,"""安柏勒斯"""
Ether Daggers,"""苍穹匕首"""
Ether Reaper,"""苍穹死神"""
Ether Sword,"""苍穹之剑"""
Fang,"""狼牙"""
Fang Prime,"""狼牙Prime"""
Fluctus,"""巨浪"""
Flux Rifle,"""通量步枪"""
Fragor,"""重击巨锤"""
Fragor Prime,"""重击巨锤Prime"""
Furax,"""弗拉克斯"""
Furis,"""盗贼"""
Galatine,"""迦伦提恩"""
Galatine Prime,"""迦伦提恩Prime"""
Gammacor,"""咖玛腕甲枪"""
Glaive,"""战刃"""
Glaive Prime,"""战刃Prime"""
Glaxion,"""冷冻光束步枪"""
Gorgon,"""蛇发女妖"""
Gorgon Wraith,"""蛇发女妖亡魂"""
Grakata,"""葛拉卡达"""
Gram,"""格拉姆"""
Grattler,"""葛拉特勒"""
Grinlok,"""葛恩火枪"""
Halikar,"""哈利卡"""
Harpak,"""哈帕克"""
Hate,"""憎恨"""
Heat Dagger,"""烈焰匕首"""
Heat Sword,"""烈焰长剑"""
Hek,"""海克"""
Hikou,"""飞扬"""
Hikou Prime,"""飞扬Prime"""
Hind,"""雌鹿"""
Hysteria (Weapon),"""狂化爆发（武器）"""
Ignis,"""伊格尼斯"""
Imperator,"""凯旋将军"""
Imperator Vandal,"""凯旋将军破坏者"""
Jat Kittag,"""喷射战锤"""
Jaw Sword,"""蛇颚刀"""
Kama,"""短柄战镰"""
